"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"PROD_ID";"PURCHASE-URL";"RS_PART_NUMBER";"RS_PRICE-STOCK";"VALUE";
"2";" ";"RESISTOR0805";"0805";"R1, R2";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";" ";
"1";"100K";"RESISTOR0805";"0805";"R21";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";" ";
"1";"100R";"RESISTOR0805";"0805";"R20";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";" ";
"1";"100k";"RESISTOR0805";"0805";"R18";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";" ";
"3";"100n";"C-EUC0805";"C0805";"C3, C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n 50v X7R/X5R";"CAP0805";"0805";"C57";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF 50V X7R";"CAP0805";"0805";"C56";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2u";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"C7";"CAP-08280";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"4.7uF";
"1";"2N7002PW";"MOSFET-NCHANNEL2N7002PW";"SOT323";"Q6";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-11151";"";"";"";"";
"2";"4.7u";"C-EUC0805";"C0805";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47uF 6.3V";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"C6";"CAP-08280";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"4.7uF";
"2";"5K1";"RESISTOR0805";"0805";"R55, R56";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";" ";
"1";"AP2205-33W5-7";"AP2205-W5-7";"SOT95P282X145-5N";"U7";"LDO Voltage Regulators LDO CMOS LowCurr";"";"";"";"LDO Voltage Regulators LDO CMOS LowCurr";"";"1.45mm";"Diodes Inc.";"AP2205-W5-7";"";"621-AP2205-W5-7";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-AP2205-W5-7";"";"";"";"";"";"";"";"";"";"";
"1";"ATTINY1616-SNR";"ATTINY1616-SNR";"SOIC127P1030X265-20N";"IC3";"8-bit Microcontrollers - MCU 20MHZ SOIC 85C GRN";"ATTINY1616-SNR";"https://www.arrow.com/en/products/attiny1616-snr/microchip-technology?utm_currency=USD&region=nac";"";"8-bit Microcontrollers - MCU 20MHZ SOIC 85C GRN";"";"2.65mm";"Microchip";"ATTINY1616-SNR";"";"556-ATTINY1616SNR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY1616-SNR?qs=HXFqYaX1Q2w711d4DTfCdw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"1";"DMG3415U-7";"SSM3J338R,LF";"SSM3J332RLFT";"Q5";"MOSFET Small-signal MOSFET Vdss= -12V, ID= -6A";"SSM3J338R,LF";"https://www.arrow.com/en/products/ssm3j338rlf/toshiba?region=nac";"";"MOSFET Small-signal MOSFET Vdss= -12V, ID= -6A";"";"mm";"Toshiba";"SSM3J338R,LF";"";"757-SSM3J338RLF";"https://www.mouser.co.uk/ProductDetail/Toshiba/SSM3J338RLF?qs=lhkzy8lC%252BSvURFM9ZjmJSw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"1";"DX07S016JA1R1500";"DX07S016JA1R1500";"JAE_DX07S016JA1R1500";"J1";"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole";"";"";"";" USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle";" Through Hole ";"670-DX07S016JA1R1500CT-ND";"";"";"";"JAE Electronics";"";"";"";"";"DX07S016JA1R1500";"None";"";"";"https://pricing.snapeda.com/search/part/DX07S016JA1R1500/?ref=eda";"";"";
"1";"JUMPER-SMT_3_NO_SILK";"JUMPER-SMT_3_NO_SILK";"SMT-JUMPER_3_NO_SILK";"JP1";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP73831T-2ACI_OT";"MCP73831T-2ACI_OT";"SOT95P270X145-5N";"IC1";"Li-Ion Charge Controller 4.2V SOT23-5";"MCP73831T-2ACI/OT";"https://www.arrow.com/en/products/mcp73831t-2aciot/microchip-technology?utm_currency=USD&region=europe";"";"Li-Ion Charge Controller 4.2V SOT23-5";"";"1.45mm";"Microchip";"MCP73831T-2ACI/OT";"";"579-MCP73831T-2ACIOT";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP73831T-2ACI-OT?qs=yUQqVecv4qvbBQBGbHx0Mw%3D%3D";"";"";"";"";"";"";"";"";"";"";
"1";"SMAJ24A";"3SMAJ5934B";"DIOM4325X244N";"D1";"Check availability";"";"";"Not in stock";" Zener Diode Single 24V 5% 19Ohm 3000mW 2-Pin SMA T/R ";"";"";"";"";"Micro Commercial Components";"";"";"";"";"3SMAJ5934B";"None";"None";"";"";"";"";"";
"6";"WS2812B";"WS2812B";"WS2812B";"IC2, IC4, IC5, IC6, IC7, IC8";"NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack";"";"";"";"NeoPixel 5050 RGB LED with Integrated Driver Chip - 10 Pack";"";"1.62mm";"Adafruit";"WS2812B";"";"";"";"";"";"";"";"";"";"";"";"";"";
