time;Y
00:00,0;0,574802
00:00,0;0,570495
00:00,0;0,565765
00:00,0;0,560628
00:00,0;0,555102
00:00,0;0,549207
00:00,0;0,542962
00:00,0;0,536389
00:00,0;0,529511
00:00,0;0,522351
00:00,0;0,514934
00:00,0;0,507285
00:00,0;0,49943
00:00,0;0,491396
00:00,0;0,48321
00:00,0;0,4749
00:00,0;0,466494
00:00,0;0,458021
00:00,0;0,449509
00:00,0;0,440988
00:00,0;0,432485
00:00,0;0,424031
00:00,0;0,415654
00:00,0;0,407382
00:00,0;0,399243
00:00,0;0,391265
00:00,0;0,383476
00:00,0;0,3759
00:00,0;0,368566
00:00,0;0,361497
00:00,0;0,354717
00:00,0;0,348251
00:00,0;0,342119
00:00,0;0,336344
00:00,0;0,330945
00:00,0;0,325941
00:00,0;0,321349
00:00,0;0,317186
00:00,0;0,313465
00:00,0;0,310201
00:00,0;0,307405
00:00,0;0,305088
00:00,0;0,303257
00:00,0;0,301921
00:00,0;0,301084
00:00,0;0,30075
00:00,0;0,300922
00:00,0;0,301601
00:00,0;0,302784
00:00,0;0,30447
00:00,0;0,306653
00:00,0;0,309329
00:00,0;0,312488
00:00,0;0,316123
00:00,0;0,320222
00:00,0;0,324773
00:00,0;0,329763
00:00,0;0,335176
00:00,0;0,340995
00:00,0;0,347203
00:00,0;0,353781
00:00,0;0,360708
00:00,0;0,367962
00:00,0;0,375522
00:00,0;0,383364
00:00,0;0,391463
00:00,0;0,399793
00:00,0;0,40833
00:00,0;0,417045
00:00,0;0,425912
00:00,0;0,434904
00:00,0;0,44399
00:00,0;0,453145
00:00,0;0,462337
00:00,0;0,471539
00:00,0;0,480722
00:00,0;0,489856
00:00,0;0,498913
00:00,0;0,507865
00:00,0;0,516684
00:00,0;0,525342
00:00,0;0,533811
00:00,0;0,542065
00:00,0;0,550079
00:00,0;0,557827
00:00,0;0,565285
00:00,0;0,572431
00:00,0;0,579241
00:00,0;0,585694
00:00,0;0,591771
00:00,0;0,597454
00:00,0;0,602723
00:00,0;0,607564
00:00,0;0,611962
00:00,0;0,615903
00:00,0;0,619376
00:00,0;0,62237
00:00,0;0,624878
00:00,0;0,62689
00:00,0;0,628403
00:00,0;0,629413
00:00,0;0,629917
00:00,0;0,629914
00:00,0;0,629406
00:00,0;0,628395
00:00,0;0,626887
00:00,0;0,624886
00:00,0;0,6224
00:00,0;0,61944
00:00,0;0,616015
00:00,0;0,612137
00:00,0;0,607821
00:00,0;0,603081
00:00,0;0,597935
00:00,0;0,5924
00:00,0;0,586494
00:00,0;0,58024
00:00,0;0,573657
00:00,0;0,566768
00:00,0;0,559598
00:00,0;0,552171
00:00,0;0,544511
00:00,0;0,536645
00:00,0;0,5286
00:00,0;0,520402
00:00,0;0,512081
00:00,0;0,503663
00:00,0;0,495178
00:00,0;0,486655
00:00,0;0,478121
00:00,0;0,469607
00:00,0;0,46114
00:00,0;0,45275
00:00,0;0,444465
00:00,0;0,436314
00:00,0;0,428323
00:00,0;0,42052
00:00,0;0,412932
00:00,0;0,405583
00:00,0;0,398501
00:00,0;0,391707
00:00,0;0,385227
00:00,0;0,379081
00:00,0;0,373292
00:00,0;0,367878
00:00,0;0,362859
00:00,0;0,358252
00:00,0;0,354074
00:00,0;0,350338
00:00,0;0,347059
00:00,0;0,344248
00:00,0;0,341915
00:00,0;0,340068
00:00,0;0,338716
00:00,0;0,337863
00:00,0;0,337513
00:00,0;0,337669
00:00,0;0,33833
00:00,0;0,339497
00:00,0;0,341166
00:00,0;0,343332
00:00,0;0,34599
00:00,0;0,349132
00:00,0;0,35275
00:00,0;0,356831
00:00,0;0,361364
00:00,0;0,366336
00:00,0;0,37173
00:00,0;0,377531
00:00,0;0,383721
00:00,0;0,39028
00:00,0;0,397188
00:00,0;0,404423
00:00,0;0,411964
00:00,0;0,419786
00:00,0;0,427866
00:00,0;0,436177
00:00,0;0,444693
00:00,0;0,453389
00:00,0;0,462236
00:00,0;0,471207
00:00,0;0,480273
00:00,0;0,489407
00:00,0;0,498578
00:00,0;0,50776
00:00,0;0,516921
00:00,0;0,526034
00:00,0;0,53507
00:00,0;0,544001
00:00,0;0,552798
00:00,0;0,561433
00:00,0;0,56988
00:00,0;0,578113
00:00,0;0,586104
00:00,0;0,59383
00:00,0;0,601265
00:00,0;0,608388
00:00,0;0,615175
00:00,0;0,621605
00:00,0;0,627659
00:00,0;0,633318
00:00,0;0,638564
00:00,0;0,643381
00:00,0;0,647755
00:00,0;0,651672
00:00,0;0,655121
00:00,0;0,65809
00:00,0;0,660573
00:00,0;0,662561
00:00,0;0,664049
00:00,0;0,665034
00:00,0;0,665512
00:00,0;0,665484
00:00,0;0,664951
00:00,0;0,663914
00:00,0;0,66238
00:00,0;0,660353
00:00,0;0,657842
00:00,0;0,654855
00:00,0;0,651403
00:00,0;0,647499
00:00,0;0,643156
00:00,0;0,63839
00:00,0;0,633216
00:00,0;0,627654
00:00,0;0,621721
00:00,0;0,615439
00:00,0;0,608828
00:00,0;0,601912
00:00,0;0,594714
00:00,0;0,587258
00:00,0;0,57957
00:00,0;0,571676
00:00,0;0,563602
00:00,0;0,555376
00:00,0;0,547025
00:00,0;0,538579
00:00,0;0,530065
00:00,0;0,521512
00:00,0;0,512949
00:00,0;0,504404
00:00,0;0,495908
00:00,0;0,487488
00:00,0;0,479173
00:00,0;0,470991
00:00,0;0,46297
00:00,0;0,455137
00:00,0;0,447517
00:00,0;0,440138
00:00,0;0,433025
00:00,0;0,4262
00:00,0;0,419688
00:00,0;0,413511
00:00,0;0,40769
00:00,0;0,402245
00:00,0;0,397194
00:00,0;0,392555
00:00,0;0,388344
00:00,0;0,384576
00:00,0;0,381264
00:00,0;0,37842
00:00,0;0,376054
00:00,0;0,374175
00:00,0;0,372789
00:00,0;0,371903
00:00,0;0,37152
00:00,0;0,371642
00:00,0;0,37227
00:00,0;0,373403
00:00,0;0,375037
00:00,0;0,37717
00:00,0;0,379793
00:00,0;0,382901
00:00,0;0,386484
00:00,0;0,39053
00:00,0;0,395029
00:00,0;0,399965
00:00,0;0,405324
00:00,0;0,41109
00:00,0;0,417244
00:00,0;0,423767
00:00,0;0,43064
00:00,0;0,437839
00:00,0;0,445344
00:00,0;0,45313
00:00,0;0,461173
00:00,0;0,469447
00:00,0;0,477927
00:00,0;0,486586
00:00,0;0,495396
00:00,0;0,50433
00:00,0;0,513359
00:00,0;0,522455
00:00,0;0,531589
00:00,0;0,540732
00:00,0;0,549856
00:00,0;0,558931
00:00,0;0,567929
00:00,0;0,576821
00:00,0;0,58558
00:00,0;0,594177
00:00,0;0,602585
00:00,0;0,610779
00:00,0;0,618731
00:00,0;0,626418
00:00,0;0,633814
00:00,0;0,640897
00:00,0;0,647644
00:00,0;0,654035
00:00,0;0,660049
00:00,0;0,665668
00:00,0;0,670874
00:00,0;0,675651
00:00,0;0,679984
00:00,0;0,683861
00:00,0;0,687269
00:00,0;0,690198
00:00,0;0,692639
00:00,0;0,694586
00:00,0;0,696033
00:00,0;0,696976
00:00,0;0,697413
00:00,0;0,697343
00:00,0;0,696768
00:00,0;0,69569
00:00,0;0,694113
00:00,0;0,692044
00:00,0;0,68949
00:00,0;0,686461
00:00,0;0,682967
00:00,0;0,67902
00:00,0;0,674634
00:00,0;0,669824
00:00,0;0,664608
00:00,0;0,659002
00:00,0;0,653026
00:00,0;0,6467
00:00,0;0,640045
00:00,0;0,633085
00:00,0;0,625843
00:00,0;0,618343
00:00,0;0,610611
00:00,0;0,602672
00:00,0;0,594553
00:00,0;0,586283
00:00,0;0,577887
00:00,0;0,569396
00:00,0;0,560837
00:00,0;0,552238
00:00,0;0,54363
00:00,0;0,53504
00:00,0;0,526498
00:00,0;0,518033
00:00,0;0,509672
00:00,0;0,501444
00:00,0;0,493376
00:00,0;0,485496
00:00,0;0,477831
00:00,0;0,470405
00:00,0;0,463245
00:00,0;0,456373
00:00,0;0,449814
00:00,0;0,44359
00:00,0;0,437722
00:00,0;0,432229
00:00,0;0,42713
00:00,0;0,422444
00:00,0;0,418186
00:00,0;0,41437
00:00,0;0,41101
00:00,0;0,408118
00:00,0;0,405703
00:00,0;0,403775
00:00,0;0,402341
00:00,0;0,401406
00:00,0;0,400974
00:00,0;0,401047
00:00,0;0,401626
00:00,0;0,40271
00:00,0;0,404295
00:00,0;0,406378
00:00,0;0,408952
00:00,0;0,41201
00:00,0;0,415543
00:00,0;0,419539
00:00,0;0,423988
00:00,0;0,428874
00:00,0;0,434183
00:00,0;0,439898
00:00,0;0,446001
00:00,0;0,452474
00:00,0;0,459295
00:00,0;0,466444
00:00,0;0,473897
00:00,0;0,481632
00:00,0;0,489624
00:00,0;0,497847
00:00,0;0,506275
00:00,0;0,514882
00:00,0;0,52364
00:00,0;0,532522
00:00,0;0,541499
00:00,0;0,550543
00:00,0;0,559624
00:00,0;0,568715
00:00,0;0,577786
00:00,0;0,586809
00:00,0;0,595754
00:00,0;0,604593
00:00,0;0,613298
00:00,0;0,621842
00:00,0;0,630197
00:00,0;0,638337
00:00,0;0,646236
00:00,0;0,653869
00:00,0;0,661211
00:00,0;0,66824
00:00,0;0,674934
00:00,0;0,68127
00:00,0;0,68723
00:00,0;0,692794
00:00,0;0,697946
00:00,0;0,702668
00:00,0;0,706947
00:00,0;0,710768
00:00,0;0,714121
00:00,0;0,716995
00:00,0;0,719382
00:00,0;0,721273
00:00,0;0,722665
00:00,0;0,723552
00:00,0;0,723933
00:00,0;0,723808
00:00,0;0,723176
00:00,0;0,722042
00:00,0;0,720409
00:00,0;0,718284
00:00,0;0,715674
00:00,0;0,712588
00:00,0;0,709037
00:00,0;0,705033
00:00,0;0,700591
00:00,0;0,695724
00:00,0;0,69045
00:00,0;0,684787
00:00,0;0,678754
00:00,0;0,67237
00:00,0;0,665658
00:00,0;0,658641
00:00,0;0,651341
00:00,0;0,643783
00:00,0;0,635992
00:00,0;0,627995
00:00,0;0,619819
00:00,0;0,61149
00:00,0;0,603036
00:00,0;0,594486
00:00,0;0,585868
00:00,0;0,577211
00:00,0;0,568544
00:00,0;0,559895
00:00,0;0,551294
00:00,0;0,542769
00:00,0;0,534349
00:00,0;0,526061
00:00,0;0,517934
00:00,0;0,509995
00:00,0;0,502269
00:00,0;0,494784
00:00,0;0,487563
00:00,0;0,480632
00:00,0;0,474013
00:00,0;0,467728
00:00,0;0,4618
00:00,0;0,456246
00:00,0;0,451087
00:00,0;0,44634
00:00,0;0,442021
00:00,0;0,438144
00:00,0;0,434723
00:00,0;0,43177
00:00,0;0,429294
00:00,0;0,427305
00:00,0;0,42581
00:00,0;0,424813
00:00,0;0,424319
00:00,0;0,424331
00:00,0;0,424848
00:00,0;0,425869
00:00,0;0,427393
00:00,0;0,429413
00:00,0;0,431925
00:00,0;0,434921
00:00,0;0,438391
00:00,0;0,442325
00:00,0;0,446711
00:00,0;0,451534
00:00,0;0,45678
00:00,0;0,462432
00:00,0;0,468473
00:00,0;0,474882
00:00,0;0,48164
00:00,0;0,488726
00:00,0;0,496116
00:00,0;0,503787
00:00,0;0,511715
00:00,0;0,519874
00:00,0;0,528239
00:00,0;0,536782
00:00,0;0,545476
00:00,0;0,554294
00:00,0;0,563206
00:00,0;0,572186
00:00,0;0,581203
00:00,0;0,59023
00:00,0;0,599236
00:00,0;0,608194
00:00,0;0,617074
00:00,0;0,625848
00:00,0;0,634489
00:00,0;0,642968
00:00,0;0,651258
00:00,0;0,659332
00:00,0;0,667166
00:00,0;0,674733
00:00,0;0,68201
00:00,0;0,688973
00:00,0;0,695601
00:00,0;0,701872
00:00,0;0,707766
00:00,0;0,713264
00:00,0;0,718349
00:00,0;0,723005
00:00,0;0,727218
00:00,0;0,730973
00:00,0;0,73426
00:00,0;0,737067
00:00,0;0,739387
00:00,0;0,741212
00:00,0;0,742537
00:00,0;0,743357
00:00,0;0,743671
00:00,0;0,743479
00:00,0;0,74278
00:00,0;0,741579
00:00,0;0,739879
00:00,0;0,737686
00:00,0;0,735008
00:00,0;0,731855
00:00,0;0,728236
00:00,0;0,724165
00:00,0;0,719655
00:00,0;0,71472
00:00,0;0,709378
00:00,0;0,703647
00:00,0;0,697546
00:00,0;0,691094
00:00,0;0,684314
00:00,0;0,677228
00:00,0;0,669859
00:00,0;0,662233
00:00,0;0,654374
00:00,0;0,646308
00:00,0;0,638063
00:00,0;0,629665
00:00,0;0,621142
00:00,0;0,612523
00:00,0;0,603836
00:00,0;0,59511
00:00,0;0,586373
00:00,0;0,577655
00:00,0;0,568985
00:00,0;0,56039
00:00,0;0,551901
00:00,0;0,543544
00:00,0;0,535347
00:00,0;0,527338
00:00,0;0,519542
00:00,0;0,511987
00:00,0;0,504696
00:00,0;0,497695
00:00,0;0,491006
00:00,0;0,484651
00:00,0;0,478652
00:00,0;0,473028
00:00,0;0,467799
00:00,0;0,462981
00:00,0;0,458591
00:00,0;0,454644
00:00,0;0,451152
00:00,0;0,448128
00:00,0;0,445581
00:00,0;0,443521
00:00,0;0,441954
00:00,0;0,440887
00:00,0;0,440322
00:00,0;0,440262
00:00,0;0,440708
00:00,0;0,441658
00:00,0;0,44311
00:00,0;0,445059
00:00,0;0,447499
00:00,0;0,450423
00:00,0;0,453822
00:00,0;0,457684
00:00,0;0,461998
00:00,0;0,466749
00:00,0;0,471923
00:00,0;0,477503
00:00,0;0,483471
00:00,0;0,489809
00:00,0;0,496494
00:00,0;0,503508
00:00,0;0,510825
00:00,0;0,518424
00:00,0;0,526279
00:00,0;0,534366
00:00,0;0,542658
00:00,0;0,551128
00:00,0;0,55975
00:00,0;0,568494
00:00,0;0,577334
00:00,0;0,586241
00:00,0;0,595185
00:00,0;0,604138
00:00,0;0,613072
00:00,0;0,621956
00:00,0;0,630763
00:00,0;0,639464
00:00,0;0,648031
00:00,0;0,656437
00:00,0;0,664653
00:00,0;0,672654
00:00,0;0,680414
00:00,0;0,687908
00:00,0;0,695111
00:00,0;0,702
00:00,0;0,708554
00:00,0;0,714751
00:00,0;0,720571
00:00,0;0,725995
00:00,0;0,731006
00:00,0;0,735588
00:00,0;0,739727
00:00,0;0,743408
00:00,0;0,74662
00:00,0;0,749353
00:00,0;0,751598
00:00,0;0,753349
00:00,0;0,754599
00:00,0;0,755345
00:00,0;0,755584
00:00,0;0,755317
00:00,0;0,754544
00:00,0;0,753268
00:00,0;0,751493
00:00,0;0,749225
00:00,0;0,746473
00:00,0;0,743244
00:00,0;0,739551
00:00,0;0,735404
00:00,0;0,730818
00:00,0;0,725809
00:00,0;0,720392
00:00,0;0,714585
00:00,0;0,708409
00:00,0;0,701882
00:00,0;0,695026
00:00,0;0,687865
00:00,0;0,680421
00:00,0;0,672719
00:00,0;0,664784
00:00,0;0,656643
